trade_id,date,symbol,side,profit
1,2024-01-02,EURUSD,BUY,10
2,2024-01-03,EURUSD,BUY,10
3,2024-01-04,EURUSD,BUY,10
4,2024-01-05,EURUSD,BUY,10
5,2024-01-08,EURUSD,BUY,10
6,2024-01-09,EURUSD,BUY,10
7,2024-01-10,EURUSD,BUY,10
8,2024-01-11,EURUSD,BUY,10
9,2024-01-12,EURUSD,BUY,10
10,2024-01-15,EURUSD,BUY,10
11,2024-01-16,EURUSD,BUY,10
12,2024-01-17,EURUSD,BUY,10
13,2024-01-18,EURUSD,BUY,10
14,2024-01-19,EURUSD,BUY,10
15,2024-01-22,EURUSD,BUY,10
16,2024-01-23,EURUSD,BUY,10
17,2024-01-24,EURUSD,BUY,10
18,2024-01-25,EURUSD,BUY,10
19,2024-01-26,EURUSD,BUY,10
20,2024-01-29,EURUSD,SELL,-250
21,2024-01-30,EURUSD,BUY,10
22,2024-01-31,EURUSD,BUY,10
23,2024-02-01,EURUSD,BUY,10
24,2024-02-02,EURUSD,BUY,10
25,2024-02-05,EURUSD,BUY,10
26,2024-02-06,EURUSD,BUY,10
27,2024-02-07,EURUSD,BUY,10
28,2024-02-08,EURUSD,BUY,10
29,2024-02-09,EURUSD,BUY,10
30,2024-02-12,EURUSD,SELL,-300
