date,profit,symbol,type
2024-01-01 10:00,100,EURUSD,buy
2024-01-01 12:00,-50,EURUSD,sell
2024-01-02 10:00,200,GBPUSD,buy
2024-01-02 15:00,150,GBPUSD,buy
2024-01-03 09:00,-80,EURUSD,sell
2024-01-03 14:00,300,EURUSD,buy
2024-01-04 11:00,50,GBPUSD,buy
2024-01-04 16:00,-120,GBPUSD,sell
2024-01-05 10:00,400,EURUSD,buy
2024-01-05 13:00,100,EURUSD,buy
2024-01-06 10:00,150,GBPUSD,buy
2024-01-06 15:00,-60,GBPUSD,sell
2024-01-07 09:00,220,EURUSD,buy
2024-01-07 14:00,180,EURUSD,buy
2024-01-08 11:00,-90,GBPUSD,sell
2024-01-08 16:00,350,GBPUSD,buy
2024-01-09 10:00,120,EURUSD,buy
2024-01-09 13:00,-40,EURUSD,sell
2024-01-10 10:00,280,GBPUSD,buy
2024-01-10 15:00,160,GBPUSD,buy
2024-01-11 09:00,200,EURUSD,buy
2024-01-11 14:00,-70,EURUSD,sell
2024-01-12 11:00,310,GBPUSD,buy
2024-01-12 16:00,140,GBPUSD,buy
2024-01-13 10:00,-30,EURUSD,sell
2024-01-13 13:00,250,EURUSD,buy
2024-01-14 10:00,190,GBPUSD,buy
2024-01-14 15:00,-110,GBPUSD,sell
2024-01-15 09:00,330,EURUSD,buy
2024-01-15 14:00,170,EURUSD,buy
2024-01-16 11:00,100,GBPUSD,buy
2024-01-16 16:00,-50,GBPUSD,sell
2024-01-17 10:00,240,EURUSD,buy
2024-01-17 13:00,130,EURUSD,buy
2024-01-18 10:00,210,GBPUSD,buy
2024-01-18 15:00,-80,GBPUSD,sell
2024-01-19 09:00,350,EURUSD,buy
2024-01-19 14:00,190,EURUSD,buy
2024-01-20 11:00,120,GBPUSD,buy
2024-01-20 16:00,-60,GBPUSD,sell
